57	2017-11-07	TTM-00000001						1.1			2	1.1	-0.9	1	2017-11-17 14:44:49
58	2017-11-07	TTM-00000002	595			2					7	597	585.06	5.96	2017-11-17 14:44:49
59	2017-11-07	TTM-00000010	2631.1				12				18	2643.1	2585.48	28.81	2017-11-17 14:44:49
60	2017-10-16	TTM-00000002	449.7		1.2		0.2				39	451.1	440.08	5.5	2017-11-22 09:43:45
61	2017-11-17	TTM-00000002	408		75		30				6	513	502.34	4.96	2017-11-22 09:48:02
62	2017-11-17	TTM-00000003	0.1				0.2				3	0.3	-1.7	1	2017-11-22 09:48:02
63	2017-11-17	TTM-00000010	6964.4								13	6964.4	6825.11	69.64	2017-11-22 09:48:02
64	2017-11-18	TTM-00000002	260								1	260	254.8	2.6	2017-11-22 09:49:07
65	2017-11-18	TTM-00000004					8				8	8	0	4	2017-11-22 09:49:07
66	2017-11-18	TTM-00000010	3157.6200000000003								8	3157.62	3094.47	31.58	2017-11-22 09:49:07
67	2017-11-19	TTM-00000002	520				50				7	570	558.6	5.7	2017-11-22 09:50:05
68	2017-11-19	TTM-00000010	4321.12								23	4321.12	4234.7	43.21	2017-11-22 09:50:05
69	2017-11-20	TTM-00000002	666.5					900			8	1566.5	1550.17	8.17	2017-11-22 09:50:37
70	2017-11-20	TTM-00000010	4937.25				531				24	5468.25	5365.51	51.37	2017-11-22 09:50:37
71	2017-11-21	TTM-00000002	100.3					0.7999999999999999			12	101.1	91.09	5	2017-11-22 09:51:14
72	2017-11-21	TTM-00000010	1360								7	1360	1332.8	13.6	2017-11-22 09:51:14
73	2017-11-22	TTM-00000002	465.40000000000003					300			5	765.4	755.09	5.15	2017-11-27 08:49:37
74	2017-11-22	TTM-00000003					2				2	2	0	1	2017-11-27 08:49:37
75	2017-11-22	TTM-00000010	1320.08								12	1320.08	1293.68	13.2	2017-11-27 08:49:37
76	2017-11-23	TTM-00000001	0.2					1.8500000000000008			19	2.05	-14.95	8.5	2017-11-27 08:51:07
77	2017-11-23	TTM-00000002	330					3300			13	3630	3612.4	8.8	2017-11-27 08:51:07
78	2017-11-23	TTM-00000003					9				8	9	1	4	2017-11-27 08:51:07
79	2017-11-23	TTM-00000010	610.2900000000001					2			6	612.29	599.08	6.6	2017-11-27 08:51:07
80	2017-11-24	TTM-00000002	70.7		200			50			3	320.7	314.29	2.21	2017-11-27 08:51:52
81	2017-11-24	TTM-00000010	2985.35					13			22	2998.35	2936.64	30.85	2017-11-27 08:51:52
82	2017-07-22	TTM-00000001	0.1	0.1				0.1			3	0.3	-0.7	0.5	2017-11-27 14:56:27
83	2017-07-23	TTM-00000001						0.5			5	0.5	-4.5	2.5	2017-11-27 14:56:53
84	2017-07-24	TTM-00000001	3.600000000000001		0.2			0.1			30	3.9	2.82	0.54	2017-11-27 15:04:14
85	2017-07-26	TTM-00000001	0.30000000000000004	0.2							5	0.5	0.49	0	2017-11-27 15:04:24
86	2017-07-27	TTM-00000001	0.7999999999999999	0.30000000000000004			0.6				17	1.7	-4.32	3.01	2017-11-27 15:04:30
87	2017-07-28	TTM-00000001	0.2		0.1		0.1				4	0.4	-0.61	0.5	2017-11-27 15:04:40
88	2017-08-04	TTM-00000002			0.13						4	0.13	0.13	0	2017-11-27 15:04:49
89	2017-08-07	TTM-00000002			0.11						7	0.11	0.11	0	2017-11-27 15:05:43
90	2017-08-09	TTM-00000001	0.2								2	0.2	0.2	0	2017-11-27 15:06:13
91	2017-08-10	TTM-00000010	0.1		0.1						2	0.2	0.2	0	2017-11-27 15:06:21
92	2017-08-11	TTM-00000001	0.6								6	0.6	0.59	0.01	2017-11-27 15:06:26
93	2017-08-11	TTM-00000002	1.23								3	1.23	1.21	0.01	2017-11-27 15:06:26
94	2017-08-11	TTM-00000009			0.30000000000000004						3	0.3	0.29	0	2017-11-27 15:06:26
95	2017-08-14	TTM-00000002	1.03								1	1.03	1.01	0.01	2017-11-27 15:06:31
96	2017-08-16	TTM-00000002	1.03								1	1.03	1.01	0.01	2017-11-27 15:06:38
97	2017-08-18	TTM-00000002	1.03								1	1.03	1.01	0.01	2017-11-27 15:06:44
98	2017-08-21	TTM-00000003					1.2				3	1.2	-1.8	1.5	2017-11-27 15:07:05
99	2017-08-21	TTM-00000005					0.2				1	0.2	-0.8	0.5	2017-11-27 15:07:05
100	2017-08-22	TTM-00000002	1.03								1	1.03	1.01	0.01	2017-11-27 15:07:16
101	2017-08-23	TTM-00000001					2.5				7	2.5	-4.5	3.5	2017-11-27 15:07:23
102	2017-08-24	TTM-00000010					0.1				1	0.1	-0.9	0.5	2017-11-27 15:07:42
103	2017-08-25	TTM-00000001					0.4				4	0.4	-3.6	2	2017-11-27 15:07:48
