40	2017-09-12	TTM-00000009		0		0		0		0	0.1	1		0		0		0	0.1	1	1	-0.9	0.5	0.5	2017-11-29 11:18:06
41	2017-09-13	TTM-00000001	0.1	1		0		0		0		0		0		0		0	0.1	1	0	0.1	0	0	2017-11-29 11:18:13
42	2017-09-13	TTM-00000002	2.06	2		0	1.29	3		0		0		0		0		0	3.35	5	0.07	3.28	0.04	0.03	2017-11-29 11:18:13
43	2017-09-14	TTM-00000001	0.2	2		0		0		0		0		0		0		0	0.2	2	0	0.2	0	0	2017-11-29 12:22:54
44	2017-09-14	TTM-00000010	2	1		0		0		0		0		0		0		0	2	1	0.04	1.96	0.02	0.02	2017-11-29 12:22:54
45	2017-09-14	TTM-00000011		0		0	2	2		0		0		0		0		0	2	2	0.04	1.96	0.03	0.01	2017-11-29 12:22:54
46	2017-09-15	TTM-00000001		0		0		0		0	0.2	2		0		0		0	0.2	2	2	-1.8	1	1	2017-11-29 12:22:58
47	2017-09-15	TTM-00000002	2.06	2		0		0		0		0		0		0		0	2.06	2	0.04	2.02	0.02	0.02	2017-11-29 12:22:58
48	2017-09-15	TTM-00000009		0		0		0		0	0.8	7		0		0		0	0.8	7	7	-6.2	3.5	3.5	2017-11-29 12:22:58
49	2017-09-18	TTM-00000009		0		0		0		0	0.6	6		0		0		0	0.6	6	6	-5.4	3	3	2017-11-29 12:23:00
50	2017-09-19	TTM-00000009		0		0		0		0	0.6	6		0		0		0	0.6	6	6	-5.4	3	3	2017-11-29 12:23:03
51	2017-09-20	TTM-00000003	1	1		0		0		0		0		0		0		0	1	1	0.02	0.98	0.01	0.01	2017-11-29 12:23:05
52	2017-09-20	TTM-00000010	2	1		0		0		0		0		0		0		0	2	1	0.04	1.96	0.02	0.02	2017-11-29 12:23:06
53	2017-09-21	TTM-00000003	34	5		0		0		0		0		0		0		0	34	5	0.68	33.32	0.34	0.34	2017-11-29 12:23:08
54	2017-09-22	TTM-00000010	1.5	2		0		0		0		0		0		0		0	1.5	2	0.03	1.47	0.02	0.02	2017-11-29 12:23:12
55	2017-09-24	TTM-00000010	10	1		0		0		0		0		0		0		0	10	1	0.2	9.8	0.1	0.1	2017-11-29 12:23:14
56	2017-09-25	TTM-00000002	1.03	1		0		0		0		0		0		0		0	1.03	1	0.02	1.01	0.01	0.01	2017-11-29 12:23:16
